tweet,count
I AM DRAINING THE SWAMP,6
https://t.co/U7WxKrO6Kx,21
If that perfect phone call with the President of Ukraine Isn’t considered appropriate,24
then no future President can EVER again speak to another foreign leader,21
Sounding more and more like the so-called Whistleblower isn’t a Whistleblower at all,23
In addition,4
all second hand information that proved to be so inaccurate that there may not have even been somebody else,29
a leaker or spy,5
feeding it to him or her? A partisan operative?,15
The Democrats are now to be known as the DO NOTHING PARTY,16
Rep,1
Adam Schiff totally made up my conversation with Ukraine President and read it to Congress and Millions,28
He must resign and be investigated,11
He has been doing this for two years,9
He is a sick man,5
“IT WAS A PERFECT CONVERSATION WITH UKRAINE PRESIDENT!”,15
Iran wanted me to lift the sanctions imposed on them in order to meet,19
I said,2
of course,2
NO,1
https://t.co/lnNyGMleKJ,15
Rep,1
Adam Schiff fraudulently read to Congress,11
with millions of people watching,8
a version of my conversation with the President of Ukraine that doesn’t exist,23
He was supposedly reading the exact transcribed version of the call,18
but he completely changed the words to make it..,11
sound horrible,4
and me sound guilty,5
HE WAS DESPERATE AND HE GOT CAUGHT,8
Adam Schiff therefore lied to Congress and attempted to defraud the American Public,23
He has been doing this for two years,9
I am calling for him to immediately resign from Congress based on this fraud,21
sound horrible,4
an me sound guilty,5
HE WAS DESPERATE AND HE GOT CAUGHT,8
Adam Schiff therefore lied to Congress and attempted to defraud the American Public,23
He has been doing this for two years,9
I am calling for him to immediately resign from Congress based on this fraud,21
Rep,1
Adam Schiff fraudulently read to Congress,11
with millions of people watching,8
a version of my conversation with the President of Ukraine that doesn’t exist,23
He was supposedly reading the exact transcribed version of the call,18
but he completely changed the words to make it...,11
nice call with with the new President of Ukraine,12
it could not have been better or more honorable,13
and the Fake News Media and Democrats,11
working as a team,5
have fraudulently made it look bad,9
It wasn’t bad,5
it was very legal and very good,10
A continuing Witch Hunt,7
Obama loving (wrote Obama book) Peter Baker of the Failing New York Times,21
married to an even bigger Trump Hater than himself,14
should not even be allowed to write about me,12
Every story is a made up disaster with sources and leakers that don’t even exist,25
I had a simple and very.,8
To show you how dishonest the LameStream Media is,14
I used the word Liddle’,6
not Liddle,3
in discribing Corrupt Congressman Liddle’ Adam Schiff,14
Low ratings @CNN purposely took the hyphen out and said I spelled the word little wrong,24
A small but never ending situation with CNN,15
https://t.co/nnZWgUDKMT,15
https://t.co/tY8as4SYGY,19
https://t.co/MZdR4l1H4U,22
So many lies by Sleepy Joe and the Do Nothing Democrats,16
https://t.co/MY1zkMvFQW,16
https://t.co/ck4ZWu3F2N,20
https://t.co/6ggjWb5uJZ,18
https://t.co/TAJLOrpFZe,15
Will be a GREAT and very accurate show tonight by @seanhannity on @foxnews (9:00 PM),28
Will play my full statement from Air Force One,10
The President of Ukraine said that he was NOT pressured by me to do anything wrong,22
Can’t have better testimony than that,11
As V.P.,3
Biden had his son,5
on the other hand,5
take out millions of dollars by strong arming the Ukrainian President,19
Also looted millions from China,9
Bad,1
No one has done more behind the scenes for STRONG BORDER SECURITY than @SenCapito,23
Her bill passed Committee today with $5B for the BORDER WALL,18
West Virginia is a great State and Shelley gets it done,14
Keep it up,3
Congratulations to my friend @SenShelby,12
our powerful Appropriations Chairman,12
for his hard work on many strong bills that continue to rebuild our military,22
invest in border security,9
and many other priorities,9
Good work and keep fighting,6
you are winning,4
Liddle’ Adam Schiff,5
who has worked unsuccessfully for 3 years to hurt the Republican Party and President,24
has just said that the Whistleblower,9
even though he or she only had second hand information,16
“is credible.” How can that be with zero info and a known bias,18
Democrat Scam,4
Adam Schiff has zero credibility,11
Another fantasy to hurt the Republican Party,15
A whistleblower with second hand information? Another Fake News Story,20
See what was said on the very nice,9
no pressure,3
call,1
Another Witch Hunt,5
That,1
and many other reasons,7
is why Republicans will win North Carolina,13
https://t.co/m4GNvbp7oK,21
“Is there a case for impeachment? Absolutely not,13
There is no high crime or misdemeanor,10
no crime,2
no extortion,4
no treason.” Robert Ray @FoxNews,9
“Is their a case for impeachment? Absolutely not!” There is no high crimes or misdemeanors,23
no treason,3
no extortion,4
no treason.” RD Robert Ray,7
respected,3
THE DEMOCRATS ARE TRYING TO DESTROY THE REPUBLICAN PARTY AND ALL THAT IT STANDS FOR,23
STICK TOGETHER,4
PLAY THEIR GAME,3
AND FIGHT HARD REPUBLICANS,7
OUR COUNTRY IS AT STAKE,7
THE GREATEST SCAM IN THE HISTORY OF AMERICAN POLITICS,17
Thank you Jim,3
https://t.co/9ldr6iSdpl,21
If they actually did this the markets would crash,13
Do you think it was luck that got us to the best Stock Market and Economy in our history,26
It wasn’t,4
https://t.co/V0WGVWEWTN,19
So bad for our Country,7
https://t.co/BzICeKn8hY,18
So cute,2
Her father is under siege,7
for no reason,4
since his first day in office,7
https://t.co/8wtB3H4fth,21
One of our best fundraising days EVER,11
https://t.co/zohH8Xm5ak,20
So true,2
but it will never work,6
https://t.co/UEi4U4lpTs,21
https://t.co/o88dILO9oU,21
